Name,Metric,Area(um^2),Power(uW),Delay(ns)
max_1-1-95,0.004811,2238.66,nan,6860.440000
max_1-1-96,0.002649,2175.08,nan,8150.500000
max_1-1-97,0.002458,2262.33,nan,7859.930000
max_1-1-98,0.004861,2150.08,nan,6820.710000
max_1-1-99,0.004840,2137.84,nan,8107.230000
max_1-1-100,0.004606,2092.62,nan,7626.080000
max_1-1-101,0.002960,2382.56,nan,7015.220000
max_1-1-102,0.002662,2140.77,nan,8144.780000
max_1-1-103,0.002811,2141.30,nan,8132.810000
max_1-1-104,0.002952,2166.57,nan,8089.340000
max_1-1-105,0.001988,2275.10,nan,7077.250000
max_1-1-106,0.003807,2151.67,nan,6820.770000
max_1-1-107,0.003507,2144.49,nan,8113.670000
max_1-1-108,0.004575,2111.24,nan,7446.740000
max_1-2-0,0.005114,2390.28,nan,6156.560000
max_1-2-1,0.005256,2071.61,nan,8063.880000
max_1-2-2,0.002363,2238.66,nan,8193.880000
max_1-2-3,0.003354,2076.66,nan,8089.760000
max_1-2-4,0.003338,2071.87,nan,8089.630000
max_1-2-5,0.005258,2076.66,nan,8059.390000
max_1-2-6,0.003324,2122.95,nan,8190.730000
max_1-2-7,0.003342,2074.80,nan,8089.660000
max_1-2-8,0.003094,2076.66,nan,8096.490000
max_1-2-9,0.005199,2071.87,nan,8067.730000
max_1-2-10,0.002352,2306.49,nan,6941.040000
max_1-2-12,0.003306,2133.59,nan,8121.300000
max_1-2-13,0.005253,2078.52,nan,8056.180000
max_1-2-14,0.003348,2043.68,nan,8043.920000
max_1-2-15,0.003313,2130.39,nan,8124.730000
max_1-2-16,0.005267,2071.34,nan,8068.690000
max_1-2-17,0.003378,2106.45,nan,6765.900000
max_1-2-18,0.002842,2051.66,nan,8030.260000
max_1-2-19,0.003071,2070.81,nan,8095.940000
max_1-2-20,0.003282,2301.17,nan,6908.940000
max_1-2-21,0.003052,2195.30,nan,8111.280000
max_1-2-22,0.005210,2073.20,nan,8048.460000
max_1-2-23,0.003335,2068.68,nan,8092.930000
max_1-2-24,0.003096,2077.46,nan,8102.760000
max_1-2-25,0.003095,2136.78,nan,8129.910000
max_1-2-26,0.003342,2291.86,nan,6669.150000
max_1-2-27,0.004823,1992.87,nan,6756.230000
max_1-2-28,0.003330,2049.00,nan,8030.750000
max_1-2-29,0.004820,1994.73,nan,6741.030000
max_1-2-30,0.002889,2078.52,nan,8083.800000
max_1-2-31,0.005262,2070.28,nan,8076.120000
max_1-2-32,0.005123,2237.33,nan,8048.230000
max_1-2-33,0.003301,2070.81,nan,8093.140000
max_1-2-34,0.003338,2291.32,nan,6894.960000
max_1-2-35,0.003278,2075.07,nan,8106.080000
max_1-2-36,0.005238,2198.76,nan,6758.360000
max_1-2-37,0.003318,2126.67,nan,8123.780000
max_1-2-38,0.005257,2071.34,nan,8072.960000
max_1-2-39,0.005207,2075.60,nan,8047.500000
max_1-2-40,0.003090,2076.13,nan,8111.160000
max_1-2-41,0.005161,2080.39,nan,8085.100000
max_1-2-42,0.003762,2208.86,nan,6672.800000
max_1-2-43,0.002840,2385.22,nan,7000.180000
max_1-2-44,0.003344,2414.48,nan,5427.960000
max_1-2-45,0.003143,2111.77,nan,6932.020000
max_1-2-46,0.002837,2077.46,nan,8090.580000
max_1-2-47,0.005283,2141.03,nan,6769.940000
max_1-2-48,0.003370,2075.86,nan,8088.650000
max_1-2-49,0.004958,2130.13,nan,7857.690000
max_1-2-50,0.003322,2112.84,nan,6235.150000
max_1-2-51,0.003098,2213.39,nan,6931.190000
max_1-2-52,0.005271,2072.41,nan,8094.990000
max_1-2-53,0.005218,2105.92,nan,8140.010000
max_1-2-54,0.003298,2145.29,nan,8120.150000
max_1-2-55,0.003284,2167.63,nan,8121.040000
max_1-2-56,0.004348,2087.30,nan,6677.110000
max_1-2-57,0.005172,2055.38,nan,6847.350000
max_1-2-58,0.005473,2129.06,nan,8108.350000
max_1-2-59,0.008060,2207.00,nan,6681.920000
